User_ID,Cohort_Month,Activity_Month,Month_Distance,Transaction_Value,Platform
USR-10000,2024-02,2024-02,0,21.46,Web
USR-10000,2024-02,2024-02,0,51.04,iOS
USR-10000,2024-02,2024-02,0,71.9,iOS
USR-10000,2024-02,2024-02,0,75.2,Android
USR-10000,2024-02,2024-02,0,61.85,iOS
USR-10000,2024-02,2024-02,0,85.53,Web
USR-10000,2024-02,2024-02,0,94.38,iOS
USR-10000,2024-02,2024-02,0,40.34,Web
USR-10000,2024-02,2024-03,1,31.66,Web
USR-10000,2024-02,2024-03,1,85.34,iOS
USR-10000,2024-02,2024-03,1,89.88,Android
USR-10000,2024-02,2024-03,1,89.08,iOS
USR-10000,2024-02,2024-03,1,87.57,iOS
USR-10000,2024-02,2024-03,1,19.59,Android
USR-10000,2024-02,2024-03,1,69.64,Android
USR-10000,2024-02,2024-03,1,60.42,iOS
USR-10000,2024-02,2024-03,1,11,iOS
USR-10000,2024-02,2024-03,1,69.61,iOS
USR-10000,2024-02,2024-03,1,86.55,Android
USR-10000,2024-02,2024-03,1,66.54,Android
USR-10000,2024-02,2024-03,1,44.67,Android
USR-10000,2024-02,2024-03,1,97.42,iOS
USR-10000,2024-02,2024-04,2,69.83,iOS
USR-10000,2024-02,2024-04,2,95.09,iOS
USR-10000,2024-02,2024-04,2,31.06,Android
USR-10000,2024-02,2024-04,2,67.16,iOS
USR-10000,2024-02,2024-04,2,34.24,Android
USR-10000,2024-02,2024-04,2,91.31,Android
USR-10000,2024-02,2024-04,2,59.05,iOS
USR-10000,2024-02,2024-04,2,39.04,Android
USR-10000,2024-02,2024-05,3,41.91,Android
USR-10000,2024-02,2024-05,3,96.8,iOS
USR-10000,2024-02,2024-05,3,34.51,Android
USR-10000,2024-02,2024-05,3,47.06,iOS
USR-10000,2024-02,2024-05,3,49.62,iOS
USR-10000,2024-02,2024-05,3,41.43,Android
USR-10000,2024-02,2024-05,3,52.65,Android
USR-10000,2024-02,2024-05,3,34.07,Web
USR-10000,2024-02,2024-06,4,80.11,iOS
USR-10000,2024-02,2024-06,4,62.32,Android
USR-10000,2024-02,2024-06,4,67.72,Web
USR-10000,2024-02,2024-06,4,61.99,Android
USR-10000,2024-02,2024-06,4,82.54,Web
USR-10000,2024-02,2024-06,4,57.42,Web
USR-10000,2024-02,2024-06,4,58.51,Android
USR-10000,2024-02,2024-06,4,76.43,Android
USR-10001,2024-02,2024-02,0,67.92,Web
USR-10001,2024-02,2024-02,0,47.04,Web
USR-10001,2024-02,2024-02,0,36.52,iOS
USR-10001,2024-02,2024-02,0,38.45,iOS
USR-10001,2024-02,2024-02,0,58.2,iOS
USR-10001,2024-02,2024-02,0,82.72,iOS
USR-10001,2024-02,2024-02,0,21.95,iOS
USR-10001,2024-02,2024-02,0,55.62,Android
USR-10001,2024-02,2024-02,0,80.83,iOS
USR-10001,2024-02,2024-02,0,93.24,Android
USR-10001,2024-02,2024-02,0,84.04,Web
USR-10001,2024-02,2024-03,1,49.04,iOS
USR-10001,2024-02,2024-03,1,72.49,iOS
USR-10001,2024-02,2024-03,1,77.55,Android
USR-10001,2024-02,2024-03,1,76.91,Android
USR-10001,2024-02,2024-03,1,88.76,Android
USR-10001,2024-02,2024-03,1,54.01,Android
USR-10001,2024-02,2024-03,1,12.57,iOS
USR-10001,2024-02,2024-03,1,57.53,iOS
USR-10001,2024-02,2024-03,1,74.95,iOS
USR-10001,2024-02,2024-03,1,82.76,Web
USR-10001,2024-02,2024-04,2,49.11,Android
USR-10001,2024-02,2024-04,2,22.17,Web
USR-10001,2024-02,2024-04,2,70.79,iOS
USR-10001,2024-02,2024-04,2,92.31,Web
USR-10001,2024-02,2024-04,2,55.19,Web
USR-10001,2024-02,2024-04,2,38.97,Android
USR-10001,2024-02,2024-04,2,53.27,Android
USR-10001,2024-02,2024-04,2,39.56,iOS
USR-10001,2024-02,2024-04,2,45.37,iOS
USR-10001,2024-02,2024-05,3,37.62,iOS
USR-10001,2024-02,2024-05,3,13.43,Android
USR-10001,2024-02,2024-05,3,11.7,iOS
USR-10001,2024-02,2024-05,3,29.63,iOS
USR-10001,2024-02,2024-05,3,32.94,Web
USR-10001,2024-02,2024-05,3,99.74,Android
USR-10001,2024-02,2024-05,3,37.19,iOS
USR-10001,2024-02,2024-05,3,83.6,Android
USR-10001,2024-02,2024-05,3,76.14,iOS
USR-10001,2024-02,2024-05,3,92.71,Web
USR-10001,2024-02,2024-05,3,90.06,Web
USR-10001,2024-02,2024-06,4,55.39,Web
USR-10001,2024-02,2024-06,4,90.89,Web
USR-10001,2024-02,2024-06,4,56.81,Android
USR-10001,2024-02,2024-06,4,84.92,Android
USR-10001,2024-02,2024-06,4,72.66,Android
USR-10001,2024-02,2024-06,4,64.08,iOS
